,pclass,survived,sex,age,fare,family_size,has_cabin
0,1.0,1.0,1.0,29.0,211.3375,0.0,1
1,1.0,1.0,0.0,0.9167,151.55,3.0,1
2,1.0,0.0,1.0,2.0,151.55,3.0,1
3,1.0,0.0,0.0,30.0,151.55,3.0,1
4,1.0,0.0,1.0,25.0,151.55,3.0,1
5,1.0,1.0,0.0,48.0,26.55,0.0,1
6,1.0,1.0,1.0,63.0,77.9583,1.0,1
7,1.0,0.0,0.0,39.0,0.0,0.0,1
8,1.0,1.0,1.0,53.0,51.4792,2.0,1
9,1.0,0.0,0.0,71.0,49.5042,0.0,0
10,1.0,0.0,0.0,47.0,227.525,1.0,1
11,1.0,1.0,1.0,18.0,227.525,1.0,1
12,1.0,1.0,1.0,24.0,69.3,0.0,1
13,1.0,1.0,1.0,26.0,78.85,0.0,0
14,1.0,1.0,0.0,80.0,30.0,0.0,1
15,1.0,0.0,0.0,29.8811345124283,25.925,0.0,0
16,1.0,0.0,0.0,24.0,247.5208,1.0,1
17,1.0,1.0,1.0,50.0,247.5208,1.0,1
18,1.0,1.0,1.0,32.0,76.2917,0.0,1
19,1.0,0.0,0.0,36.0,75.2417,0.0,1
20,1.0,1.0,0.0,37.0,52.5542,2.0,1
21,1.0,1.0,1.0,47.0,52.5542,2.0,1
22,1.0,1.0,0.0,26.0,30.0,0.0,1
23,1.0,1.0,1.0,42.0,227.525,0.0,0
24,1.0,1.0,1.0,29.0,221.7792,0.0,1
25,1.0,0.0,0.0,25.0,26.0,0.0,0
26,1.0,1.0,0.0,25.0,91.0792,1.0,1
27,1.0,1.0,1.0,19.0,91.0792,1.0,1
28,1.0,1.0,1.0,35.0,135.6333,0.0,1
29,1.0,1.0,0.0,28.0,26.55,0.0,1
30,1.0,0.0,0.0,45.0,35.5,0.0,1
31,1.0,1.0,0.0,40.0,31.0,0.0,1
32,1.0,1.0,1.0,30.0,164.8667,0.0,1
33,1.0,1.0,1.0,58.0,26.55,0.0,1
34,1.0,0.0,0.0,42.0,26.55,0.0,1
35,1.0,1.0,1.0,45.0,262.375,0.0,0
36,1.0,1.0,1.0,22.0,55.0,1.0,1
37,1.0,1.0,0.0,29.8811345124283,26.55,0.0,0
38,1.0,0.0,0.0,41.0,30.5,0.0,1
39,1.0,0.0,0.0,48.0,50.4958,0.0,1
40,1.0,0.0,0.0,29.8811345124283,39.6,0.0,0
41,1.0,1.0,1.0,44.0,27.7208,0.0,1
42,1.0,1.0,1.0,59.0,51.4792,2.0,1
43,1.0,1.0,1.0,60.0,76.2917,0.0,1
44,1.0,1.0,1.0,41.0,134.5,0.0,1
45,1.0,0.0,0.0,45.0,26.55,0.0,1
46,1.0,0.0,0.0,29.8811345124283,31.0,0.0,0
47,1.0,1.0,0.0,42.0,26.2875,0.0,1
48,1.0,1.0,1.0,53.0,27.4458,0.0,0
49,1.0,1.0,0.0,36.0,512.3292,1.0,1
50,1.0,1.0,1.0,58.0,512.3292,1.0,1
51,1.0,0.0,0.0,33.0,5.0,0.0,1
52,1.0,0.0,0.0,28.0,47.1,0.0,0
53,1.0,0.0,0.0,17.0,47.1,0.0,0
54,1.0,1.0,0.0,11.0,120.0,3.0,1
55,1.0,1.0,1.0,14.0,120.0,3.0,1
56,1.0,1.0,0.0,36.0,120.0,3.0,1
57,1.0,1.0,1.0,36.0,120.0,3.0,1
58,1.0,0.0,0.0,49.0,26.0,0.0,0
59,1.0,1.0,1.0,29.8811345124283,27.7208,0.0,0
60,1.0,0.0,0.0,36.0,78.85,1.0,1
61,1.0,1.0,1.0,76.0,78.85,1.0,1
62,1.0,0.0,0.0,46.0,61.175,1.0,1
63,1.0,1.0,1.0,47.0,61.175,1.0,1
64,1.0,1.0,0.0,27.0,53.1,1.0,1
65,1.0,1.0,1.0,33.0,53.1,1.0,1
66,1.0,1.0,1.0,36.0,262.375,0.0,1
67,1.0,1.0,1.0,30.0,86.5,0.0,1
68,1.0,1.0,0.0,45.0,29.7,0.0,1
69,1.0,1.0,1.0,29.8811345124283,55.0,1.0,1
70,1.0,0.0,0.0,29.8811345124283,0.0,0.0,0
71,1.0,0.0,0.0,27.0,136.7792,1.0,1
72,1.0,1.0,1.0,26.0,136.7792,1.0,1
73,1.0,1.0,1.0,22.0,151.55,0.0,0
74,1.0,0.0,0.0,29.8811345124283,52.0,0.0,1
75,1.0,0.0,0.0,47.0,25.5875,0.0,1
76,1.0,1.0,1.0,39.0,83.1583,2.0,1
77,1.0,0.0,0.0,37.0,83.1583,2.0,1
78,1.0,1.0,1.0,64.0,83.1583,2.0,1
79,1.0,1.0,1.0,55.0,25.7,2.0,1
80,1.0,0.0,0.0,29.8811345124283,26.55,0.0,0
81,1.0,0.0,0.0,70.0,71.0,2.0,1
82,1.0,1.0,1.0,36.0,71.0,2.0,1
83,1.0,1.0,1.0,64.0,26.55,2.0,1
84,1.0,0.0,0.0,39.0,71.2833,1.0,1
85,1.0,1.0,1.0,38.0,71.2833,1.0,1
86,1.0,1.0,0.0,51.0,26.55,0.0,1
87,1.0,1.0,0.0,27.0,30.5,0.0,0
88,1.0,1.0,1.0,33.0,151.55,0.0,0
89,1.0,0.0,0.0,31.0,52.0,1.0,1
90,1.0,1.0,1.0,27.0,52.0,3.0,1
91,1.0,1.0,0.0,31.0,57.0,1.0,1
92,1.0,1.0,1.0,17.0,57.0,1.0,1
93,1.0,1.0,0.0,53.0,81.8583,2.0,1
94,1.0,1.0,0.0,4.0,81.8583,2.0,1
95,1.0,1.0,1.0,54.0,81.8583,2.0,1
96,1.0,0.0,0.0,50.0,106.425,1.0,1
97,1.0,1.0,1.0,27.0,247.5208,2.0,1
98,1.0,1.0,1.0,48.0,106.425,1.0,1
99,1.0,1.0,1.0,48.0,39.6,1.0,1
100,1.0,1.0,0.0,49.0,56.9292,1.0,1
101,1.0,0.0,0.0,39.0,29.7,0.0,1
102,1.0,1.0,1.0,23.0,83.1583,1.0,1
103,1.0,1.0,1.0,38.0,227.525,0.0,1
104,1.0,1.0,1.0,54.0,78.2667,1.0,1
105,1.0,0.0,1.0,36.0,31.6792,0.0,1
106,1.0,0.0,0.0,29.8811345124283,221.7792,0.0,1
107,1.0,1.0,1.0,29.8811345124283,31.6833,0.0,0
108,1.0,1.0,1.0,29.8811345124283,110.8833,0.0,0
109,1.0,1.0,0.0,36.0,26.3875,0.0,1
110,1.0,0.0,0.0,30.0,27.75,0.0,1
111,1.0,1.0,1.0,24.0,263.0,5.0,1
112,1.0,1.0,1.0,28.0,263.0,5.0,1
113,1.0,1.0,1.0,23.0,263.0,5.0,1
114,1.0,0.0,0.0,19.0,263.0,5.0,1
115,1.0,0.0,0.0,64.0,263.0,5.0,1
116,1.0,1.0,1.0,60.0,263.0,5.0,1
117,1.0,1.0,1.0,30.0,56.9292,0.0,1
118,1.0,0.0,0.0,29.8811345124283,26.55,0.0,1
119,1.0,1.0,0.0,50.0,133.65,2.0,0
120,1.0,1.0,0.0,43.0,27.7208,1.0,1
121,1.0,1.0,1.0,29.8811345124283,133.65,1.0,0
122,1.0,1.0,1.0,22.0,49.5,2.0,1
123,1.0,1.0,0.0,60.0,79.2,2.0,1
124,1.0,1.0,1.0,48.0,79.2,2.0,1
125,1.0,0.0,0.0,29.8811345124283,0.0,0.0,1
126,1.0,0.0,0.0,37.0,53.1,1.0,1
127,1.0,1.0,1.0,35.0,53.1,1.0,1
128,1.0,0.0,0.0,47.0,38.5,0.0,1
129,1.0,1.0,1.0,35.0,211.5,0.0,1
130,1.0,1.0,1.0,22.0,59.4,1.0,0
131,1.0,1.0,1.0,45.0,59.4,1.0,0
132,1.0,0.0,0.0,24.0,79.2,0.0,1
133,1.0,1.0,0.0,49.0,89.1042,1.0,1
134,1.0,1.0,1.0,29.8811345124283,89.1042,1.0,1
135,1.0,0.0,0.0,71.0,34.6542,0.0,1
136,1.0,1.0,0.0,53.0,28.5,0.0,1
137,1.0,1.0,1.0,19.0,30.0,0.0,1
138,1.0,0.0,0.0,38.0,153.4625,1.0,1
139,1.0,1.0,1.0,58.0,153.4625,1.0,1
140,1.0,1.0,0.0,23.0,63.3583,1.0,1
141,1.0,1.0,1.0,45.0,63.3583,1.0,1
142,1.0,0.0,0.0,46.0,79.2,0.0,1
143,1.0,1.0,0.0,25.0,55.4417,1.0,1
144,1.0,1.0,1.0,25.0,55.4417,1.0,1
145,1.0,1.0,0.0,48.0,76.7292,1.0,1
146,1.0,1.0,1.0,49.0,76.7292,1.0,1
147,1.0,0.0,0.0,29.8811345124283,42.4,0.0,0
148,1.0,0.0,0.0,45.0,83.475,1.0,1
149,1.0,1.0,1.0,35.0,83.475,1.0,1
150,1.0,0.0,0.0,40.0,0.0,0.0,1
151,1.0,1.0,0.0,27.0,76.7292,0.0,1
152,1.0,1.0,0.0,29.8811345124283,30.0,0.0,1
153,1.0,1.0,1.0,24.0,83.1583,0.0,1
154,1.0,0.0,0.0,55.0,93.5,2.0,1
155,1.0,1.0,1.0,52.0,93.5,2.0,1
156,1.0,0.0,0.0,42.0,42.5,0.0,1
157,1.0,0.0,0.0,29.8811345124283,51.8625,0.0,1
158,1.0,0.0,0.0,55.0,50.0,0.0,1
159,1.0,1.0,1.0,16.0,57.9792,1.0,1
160,1.0,1.0,1.0,44.0,57.9792,1.0,1
161,1.0,1.0,1.0,51.0,77.9583,1.0,1
162,1.0,0.0,0.0,42.0,52.0,1.0,0
163,1.0,1.0,1.0,35.0,52.0,1.0,0
164,1.0,1.0,0.0,35.0,26.55,0.0,0
165,1.0,1.0,0.0,38.0,90.0,1.0,1
166,1.0,0.0,0.0,29.8811345124283,30.6958,0.0,0
167,1.0,1.0,1.0,35.0,90.0,1.0,1
168,1.0,1.0,1.0,38.0,80.0,0.0,1
169,1.0,0.0,1.0,50.0,28.7125,0.0,1
170,1.0,1.0,0.0,49.0,0.0,0.0,1
171,1.0,0.0,0.0,46.0,26.0,0.0,0
172,1.0,0.0,0.0,50.0,26.0,0.0,1
173,1.0,0.0,0.0,32.5,211.5,0.0,1
174,1.0,0.0,0.0,58.0,29.7,0.0,1
175,1.0,0.0,0.0,41.0,51.8625,1.0,1
176,1.0,1.0,1.0,29.8811345124283,51.8625,1.0,1
177,1.0,1.0,0.0,42.0,52.5542,1.0,1
178,1.0,1.0,1.0,45.0,52.5542,1.0,1
179,1.0,0.0,0.0,29.8811345124283,26.55,0.0,1
180,1.0,1.0,1.0,39.0,211.3375,0.0,0
181,1.0,1.0,1.0,49.0,25.9292,0.0,1
182,1.0,1.0,1.0,30.0,106.425,0.0,0
183,1.0,1.0,0.0,35.0,512.3292,0.0,1
184,1.0,0.0,0.0,29.8811345124283,27.7208,0.0,0
185,1.0,0.0,0.0,42.0,26.55,0.0,0
186,1.0,1.0,1.0,55.0,27.7208,0.0,0
187,1.0,1.0,1.0,16.0,39.4,1.0,1
188,1.0,1.0,1.0,51.0,39.4,1.0,1
189,1.0,0.0,0.0,29.0,30.0,0.0,1
190,1.0,1.0,1.0,21.0,77.9583,0.0,1
191,1.0,0.0,0.0,30.0,45.5,0.0,0
192,1.0,1.0,1.0,58.0,146.5208,0.0,1
193,1.0,1.0,1.0,15.0,211.3375,1.0,1
194,1.0,0.0,0.0,30.0,26.0,0.0,1
195,1.0,1.0,1.0,16.0,86.5,0.0,1
196,1.0,1.0,0.0,29.8811345124283,29.7,0.0,1
197,1.0,0.0,0.0,19.0,53.1,1.0,1
198,1.0,1.0,1.0,18.0,53.1,1.0,1
199,1.0,1.0,1.0,24.0,49.5042,0.0,1
200,1.0,0.0,0.0,46.0,75.2417,0.0,1
201,1.0,0.0,0.0,54.0,51.8625,0.0,1
202,1.0,1.0,0.0,36.0,26.2875,0.0,1
203,1.0,0.0,0.0,28.0,82.1708,1.0,0
204,1.0,1.0,1.0,29.8811345124283,82.1708,1.0,0
205,1.0,0.0,0.0,65.0,26.55,0.0,1
206,1.0,0.0,0.0,44.0,90.0,2.0,1
207,1.0,1.0,1.0,33.0,90.0,1.0,1
208,1.0,1.0,1.0,37.0,90.0,1.0,1
209,1.0,1.0,0.0,30.0,57.75,1.0,1
210,1.0,0.0,0.0,55.0,30.5,0.0,1
211,1.0,0.0,0.0,47.0,42.4,0.0,0
212,1.0,0.0,0.0,37.0,29.7,1.0,1
213,1.0,1.0,1.0,31.0,113.275,1.0,1
214,1.0,1.0,1.0,23.0,113.275,1.0,1
215,1.0,0.0,0.0,58.0,113.275,2.0,1
216,1.0,1.0,1.0,19.0,26.2833,2.0,1
217,1.0,0.0,0.0,64.0,26.0,0.0,0
218,1.0,1.0,1.0,39.0,108.9,0.0,1
219,1.0,1.0,0.0,29.8811345124283,25.7417,0.0,0
220,1.0,1.0,1.0,22.0,61.9792,1.0,1
221,1.0,0.0,0.0,65.0,61.9792,1.0,1
222,1.0,0.0,0.0,28.5,27.7208,0.0,1
223,1.0,0.0,0.0,29.8811345124283,0.0,0.0,0
224,1.0,0.0,0.0,45.5,28.5,0.0,1
225,1.0,0.0,0.0,23.0,93.5,0.0,1
226,1.0,0.0,0.0,29.0,66.6,1.0,1
227,1.0,1.0,1.0,22.0,66.6,1.0,1
228,1.0,0.0,0.0,18.0,108.9,1.0,1
229,1.0,1.0,1.0,17.0,108.9,1.0,1
230,1.0,1.0,1.0,30.0,93.5,0.0,1
231,1.0,1.0,0.0,52.0,30.5,0.0,1
232,1.0,0.0,0.0,47.0,52.0,0.0,1
233,1.0,1.0,1.0,56.0,83.1583,1.0,1
234,1.0,0.0,0.0,38.0,0.0,0.0,0
235,1.0,1.0,0.0,29.8811345124283,39.6,0.0,0
236,1.0,0.0,0.0,22.0,135.6333,0.0,0
237,1.0,0.0,0.0,29.8811345124283,227.525,0.0,0
238,1.0,1.0,1.0,43.0,211.3375,1.0,1
239,1.0,0.0,0.0,31.0,50.4958,0.0,1
240,1.0,1.0,0.0,45.0,26.55,0.0,0
241,1.0,0.0,0.0,29.8811345124283,50.0,0.0,1
242,1.0,1.0,1.0,33.0,27.7208,0.0,1
243,1.0,0.0,0.0,46.0,79.2,0.0,0
244,1.0,0.0,0.0,36.0,40.125,0.0,1
245,1.0,1.0,1.0,33.0,86.5,0.0,1
246,1.0,0.0,0.0,55.0,59.4,1.0,0
247,1.0,1.0,1.0,54.0,59.4,1.0,0
248,1.0,0.0,0.0,33.0,26.55,0.0,0
249,1.0,1.0,0.0,13.0,262.375,4.0,1
250,1.0,1.0,1.0,18.0,262.375,4.0,1
251,1.0,1.0,1.0,21.0,262.375,4.0,1
252,1.0,0.0,0.0,61.0,262.375,4.0,1
253,1.0,1.0,1.0,48.0,262.375,4.0,1
254,1.0,1.0,0.0,29.8811345124283,30.5,0.0,1
255,1.0,1.0,1.0,24.0,69.3,0.0,1
256,1.0,1.0,0.0,29.8811345124283,26.0,0.0,0
257,1.0,1.0,1.0,35.0,57.75,1.0,1
258,1.0,1.0,1.0,30.0,31.0,0.0,0
259,1.0,1.0,0.0,34.0,26.55,0.0,0
260,1.0,1.0,1.0,40.0,153.4625,0.0,1
261,1.0,1.0,0.0,35.0,26.2875,0.0,1
262,1.0,0.0,0.0,50.0,55.9,1.0,1
263,1.0,1.0,1.0,39.0,55.9,1.0,1
264,1.0,1.0,0.0,56.0,35.5,0.0,1
265,1.0,1.0,0.0,28.0,35.5,0.0,1
266,1.0,0.0,0.0,56.0,26.55,0.0,0
267,1.0,0.0,0.0,56.0,30.6958,0.0,1
268,1.0,0.0,0.0,24.0,60.0,1.0,1
269,1.0,0.0,0.0,29.8811345124283,26.0,0.0,1
270,1.0,1.0,1.0,18.0,60.0,1.0,1
271,1.0,1.0,0.0,24.0,82.2667,1.0,1
272,1.0,1.0,1.0,23.0,82.2667,1.0,1
273,1.0,1.0,0.0,6.0,134.5,2.0,1
274,1.0,1.0,0.0,45.0,134.5,2.0,1
275,1.0,1.0,1.0,40.0,134.5,2.0,1
276,1.0,0.0,0.0,57.0,146.5208,1.0,1
277,1.0,1.0,1.0,29.8811345124283,146.5208,1.0,1
278,1.0,1.0,0.0,32.0,30.5,0.0,1
279,1.0,0.0,0.0,62.0,26.55,0.0,1
280,1.0,1.0,0.0,54.0,55.4417,1.0,1
281,1.0,1.0,1.0,43.0,55.4417,1.0,1
282,1.0,1.0,1.0,52.0,78.2667,1.0,1
283,1.0,0.0,0.0,29.8811345124283,27.7208,0.0,0
284,1.0,1.0,1.0,62.0,80.0,0.0,1
285,1.0,0.0,0.0,67.0,221.7792,1.0,1
286,1.0,0.0,1.0,63.0,221.7792,1.0,1
287,1.0,0.0,0.0,61.0,32.3208,0.0,1
288,1.0,1.0,1.0,48.0,25.9292,0.0,1
289,1.0,1.0,1.0,18.0,79.65,2.0,1
290,1.0,0.0,0.0,52.0,79.65,2.0,1
291,1.0,1.0,1.0,39.0,79.65,2.0,1
292,1.0,1.0,0.0,48.0,52.0,1.0,1
293,1.0,1.0,1.0,29.8811345124283,52.0,1.0,1
294,1.0,0.0,0.0,49.0,110.8833,2.0,1
295,1.0,1.0,0.0,17.0,110.8833,2.0,1
296,1.0,1.0,1.0,39.0,110.8833,2.0,1
297,1.0,1.0,1.0,29.8811345124283,79.2,0.0,0
298,1.0,1.0,0.0,31.0,28.5375,0.0,1
299,1.0,0.0,0.0,40.0,27.7208,0.0,0
300,1.0,0.0,0.0,61.0,33.5,0.0,1
301,1.0,0.0,0.0,47.0,34.0208,0.0,1
302,1.0,1.0,1.0,35.0,512.3292,0.0,0
303,1.0,0.0,0.0,64.0,75.25,1.0,1
304,1.0,1.0,1.0,60.0,75.25,1.0,1
305,1.0,0.0,0.0,60.0,26.55,0.0,0
306,1.0,0.0,0.0,54.0,77.2875,1.0,1
307,1.0,0.0,0.0,21.0,77.2875,1.0,1
308,1.0,1.0,1.0,55.0,135.6333,0.0,1
309,1.0,1.0,1.0,31.0,164.8667,2.0,1
310,1.0,0.0,0.0,57.0,164.8667,2.0,0
311,1.0,1.0,1.0,45.0,164.8667,2.0,0
312,1.0,0.0,0.0,50.0,211.5,2.0,1
313,1.0,0.0,0.0,27.0,211.5,2.0,1
314,1.0,1.0,1.0,50.0,211.5,2.0,1
315,1.0,1.0,1.0,21.0,26.55,0.0,0
316,1.0,0.0,0.0,51.0,61.3792,1.0,0
317,1.0,1.0,0.0,21.0,61.3792,1.0,0
318,1.0,0.0,0.0,29.8811345124283,35.0,0.0,1
319,1.0,1.0,1.0,31.0,134.5,0.0,1
320,1.0,1.0,0.0,29.8811345124283,35.5,0.0,1
321,1.0,0.0,0.0,62.0,26.55,0.0,0
322,1.0,1.0,1.0,36.0,135.6333,0.0,1
323,2.0,0.0,0.0,30.0,24.0,1.0,0
324,2.0,1.0,1.0,28.0,24.0,1.0,0
325,2.0,0.0,0.0,30.0,13.0,0.0,0
326,2.0,0.0,0.0,18.0,11.5,0.0,0
327,2.0,0.0,0.0,25.0,10.5,0.0,0
328,2.0,0.0,0.0,34.0,26.0,1.0,0
329,2.0,1.0,1.0,36.0,26.0,1.0,0
330,2.0,0.0,0.0,57.0,13.0,0.0,0
331,2.0,0.0,0.0,18.0,11.5,0.0,0
332,2.0,0.0,0.0,23.0,10.5,0.0,0
333,2.0,1.0,1.0,36.0,13.0,0.0,1
334,2.0,0.0,0.0,28.0,10.5,0.0,0
335,2.0,0.0,0.0,51.0,12.525,0.0,0
336,2.0,1.0,0.0,32.0,26.0,1.0,0
337,2.0,1.0,1.0,19.0,26.0,1.0,0
338,2.0,0.0,0.0,28.0,26.0,0.0,0
339,2.0,1.0,0.0,1.0,39.0,3.0,1
340,2.0,1.0,1.0,4.0,39.0,3.0,1
341,2.0,1.0,1.0,12.0,39.0,3.0,1
342,2.0,1.0,1.0,36.0,39.0,3.0,1
343,2.0,1.0,0.0,34.0,13.0,0.0,1
344,2.0,1.0,1.0,19.0,13.0,0.0,0
345,2.0,0.0,0.0,23.0,13.0,0.0,0
346,2.0,0.0,0.0,26.0,13.0,0.0,0
347,2.0,0.0,0.0,42.0,13.0,0.0,0
348,2.0,0.0,0.0,27.0,13.0,0.0,0
349,2.0,1.0,1.0,24.0,13.0,0.0,1
350,2.0,1.0,1.0,15.0,39.0,2.0,0
351,2.0,0.0,0.0,60.0,39.0,2.0,0
352,2.0,1.0,1.0,40.0,39.0,2.0,0
353,2.0,1.0,1.0,20.0,26.0,1.0,0
354,2.0,0.0,0.0,25.0,26.0,1.0,0
355,2.0,1.0,1.0,36.0,13.0,0.0,0
356,2.0,0.0,0.0,25.0,13.0,0.0,0
357,2.0,0.0,0.0,42.0,13.0,0.0,0
358,2.0,1.0,1.0,42.0,13.0,0.0,0
359,2.0,1.0,0.0,0.8333,29.0,2.0,0
360,2.0,1.0,0.0,26.0,29.0,2.0,0
361,2.0,1.0,1.0,22.0,29.0,2.0,0
362,2.0,1.0,1.0,35.0,21.0,0.0,0
363,2.0,0.0,0.0,29.8811345124283,0.0,0.0,0
364,2.0,0.0,0.0,19.0,13.0,0.0,0
365,2.0,0.0,1.0,44.0,26.0,1.0,0
366,2.0,0.0,0.0,54.0,26.0,1.0,0
367,2.0,0.0,0.0,52.0,13.5,0.0,0
368,2.0,0.0,0.0,37.0,26.0,1.0,0
369,2.0,0.0,1.0,29.0,26.0,1.0,0
370,2.0,1.0,1.0,25.0,30.0,2.0,0
371,2.0,1.0,1.0,45.0,30.0,2.0,0
372,2.0,0.0,0.0,29.0,26.0,1.0,0
373,2.0,1.0,1.0,28.0,26.0,1.0,0
374,2.0,0.0,0.0,29.0,10.5,0.0,0
375,2.0,0.0,0.0,28.0,13.0,0.0,0
376,2.0,1.0,0.0,24.0,10.5,0.0,0
377,2.0,1.0,1.0,8.0,26.25,2.0,0
378,2.0,0.0,0.0,31.0,26.25,2.0,0
379,2.0,1.0,1.0,31.0,26.25,2.0,0
380,2.0,1.0,1.0,22.0,10.5,0.0,1
381,2.0,0.0,1.0,30.0,13.0,0.0,0
382,2.0,0.0,1.0,29.8811345124283,21.0,0.0,0
383,2.0,0.0,0.0,21.0,11.5,0.0,0
384,2.0,0.0,0.0,29.8811345124283,0.0,0.0,0
385,2.0,1.0,0.0,8.0,36.75,2.0,0
386,2.0,0.0,0.0,18.0,73.5,0.0,0
387,2.0,1.0,1.0,48.0,36.75,2.0,0
388,2.0,1.0,1.0,28.0,13.0,0.0,0
389,2.0,0.0,0.0,32.0,13.0,0.0,0
390,2.0,0.0,0.0,17.0,73.5,0.0,0
391,2.0,0.0,0.0,29.0,27.7208,1.0,0
392,2.0,1.0,1.0,24.0,27.7208,1.0,0
393,2.0,0.0,0.0,25.0,31.5,0.0,0
394,2.0,0.0,0.0,18.0,73.5,0.0,0
395,2.0,1.0,1.0,18.0,23.0,1.0,0
396,2.0,1.0,1.0,34.0,23.0,1.0,0
397,2.0,0.0,0.0,54.0,26.0,0.0,0
398,2.0,1.0,0.0,8.0,32.5,2.0,0
399,2.0,0.0,0.0,42.0,32.5,2.0,0
400,2.0,1.0,1.0,34.0,32.5,2.0,0
401,2.0,1.0,1.0,27.0,13.8583,1.0,0
402,2.0,1.0,1.0,30.0,13.8583,1.0,0
403,2.0,0.0,0.0,23.0,13.0,0.0,0
404,2.0,0.0,0.0,21.0,13.0,0.0,0
405,2.0,0.0,0.0,18.0,13.0,0.0,0
406,2.0,0.0,0.0,40.0,26.0,1.0,0
407,2.0,1.0,1.0,29.0,26.0,1.0,0
408,2.0,0.0,0.0,18.0,10.5,0.0,0
409,2.0,0.0,0.0,36.0,13.0,0.0,0
410,2.0,0.0,0.0,29.8811345124283,0.0,0.0,0
411,2.0,0.0,1.0,38.0,13.0,0.0,0
412,2.0,0.0,0.0,35.0,26.0,0.0,0
413,2.0,0.0,0.0,38.0,21.0,1.0,0
414,2.0,0.0,0.0,34.0,21.0,1.0,0
415,2.0,1.0,1.0,34.0,13.0,0.0,0
416,2.0,0.0,0.0,16.0,26.0,0.0,0
417,2.0,0.0,0.0,26.0,10.5,0.0,0
418,2.0,0.0,0.0,47.0,10.5,0.0,0
419,2.0,0.0,0.0,21.0,11.5,1.0,0
420,2.0,0.0,0.0,21.0,11.5,1.0,0
421,2.0,0.0,0.0,24.0,13.5,0.0,0
422,2.0,0.0,0.0,24.0,13.0,0.0,0
423,2.0,0.0,0.0,34.0,13.0,0.0,0
424,2.0,0.0,0.0,30.0,13.0,0.0,0
425,2.0,0.0,0.0,52.0,13.0,0.0,0
426,2.0,0.0,0.0,30.0,13.0,0.0,0
427,2.0,1.0,0.0,0.6667,14.5,2.0,0
428,2.0,1.0,1.0,24.0,14.5,2.0,0
429,2.0,0.0,0.0,44.0,13.0,0.0,0
430,2.0,1.0,1.0,6.0,33.0,1.0,0
431,2.0,0.0,0.0,28.0,33.0,1.0,0
432,2.0,1.0,0.0,62.0,10.5,0.0,0
433,2.0,0.0,0.0,30.0,10.5,0.0,0
434,2.0,1.0,1.0,7.0,26.25,2.0,0
435,2.0,0.0,0.0,43.0,26.25,2.0,0
436,2.0,1.0,1.0,45.0,26.25,2.0,0
437,2.0,1.0,1.0,24.0,65.0,3.0,0
438,2.0,1.0,1.0,24.0,65.0,3.0,0
439,2.0,0.0,0.0,49.0,65.0,3.0,0
440,2.0,1.0,1.0,48.0,65.0,3.0,0
441,2.0,1.0,1.0,55.0,16.0,0.0,0
442,2.0,0.0,0.0,24.0,73.5,2.0,0
443,2.0,0.0,0.0,32.0,73.5,2.0,0
444,2.0,0.0,0.0,21.0,73.5,2.0,0
445,2.0,0.0,1.0,18.0,13.0,2.0,0
446,2.0,1.0,1.0,20.0,23.0,3.0,0
447,2.0,0.0,0.0,23.0,11.5,3.0,0
448,2.0,0.0,0.0,36.0,13.0,0.0,0
449,2.0,1.0,1.0,54.0,23.0,4.0,0
450,2.0,0.0,0.0,50.0,13.0,0.0,0
451,2.0,0.0,0.0,44.0,26.0,1.0,0
452,2.0,1.0,1.0,29.0,26.0,1.0,0
453,2.0,0.0,0.0,21.0,73.5,0.0,0
454,2.0,1.0,0.0,42.0,13.0,0.0,0
